2014-06-15 |3:44:10| ('10.0.0.2', 49336) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:44:13| ('10.0.0.2', 49336) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:44:17| ('10.0.0.2', 49336) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:44:20| ('10.0.0.2', 49336) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:44:24| ('10.0.0.2', 49336) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:44:28| ('10.0.0.2', 49336) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:46:24| ('10.0.0.2', 49337) | Action = Black_list_test. '10.0.0.2' | Resultat = unauthorized
2014-06-15 |3:46:40| ('10.0.0.2', 49338) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:47:32| ('10.0.0.2', 49339) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:47:32| ('10.0.0.2', 49339) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:47:33| ('10.0.0.2', 49339) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:47:34| ('10.0.0.2', 49339) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:47:34| ('10.0.0.2', 49339) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:47:35| ('10.0.0.2', 49339) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:47:36| ('10.0.0.2', 49339) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:47:36| ('10.0.0.2', 49339) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |23:20:25| ('127.0.0.1', 22454) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-15 |23:21:31| ('127.0.0.1', 22467) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-15 |23:21:31| ('127.0.0.1', 22467) | Action = login. (hiru,A) | Resultat = match
2014-06-15 |23:22:6| ('127.0.0.1', 22467) | Action = deconnexion. (hiru)
2014-06-15 |23:23:12| ('127.0.0.1', 22518) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-15 |23:23:13| ('127.0.0.1', 22518) | Action = login. (hiru,A) | Resultat = match
2014-06-15 |23:24:39| ('127.0.0.1', 22518) | Action = deconnexion. (hiru)
2014-06-15 |23:25:34| ('127.0.0.1', 22549) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-15 |23:25:35| ('127.0.0.1', 22549) | Action = login. (hiru,A) | Resultat = match
2014-06-15 |23:35:0| ('127.0.0.1', 22652) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-15 |23:35:1| ('127.0.0.1', 22652) | Action = login. (hiru,A) | Resultat = nomatch
2014-06-15 |23:35:10| ('127.0.0.1', 22652) | Action = login. (hiru,A) | Resultat = nomatch
2014-06-15 |23:35:18| ('127.0.0.1', 22652) | Action = login. (hiru,A) | Resultat = match
2014-06-15 |23:35:32| ('127.0.0.1', 22652) | Action = deconnexion. (hiru)
2014-06-15 |23:37:19| ('127.0.0.1', 22675) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-15 |23:37:20| ('127.0.0.1', 22675) | Action = login. (hiru,A) | Resultat = match
2014-06-15 |23:37:31| ('127.0.0.1', 22675) | Action = deconnexion. (hiru)
2014-06-15 |23:43:45| ('127.0.0.1', 22737) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-15 |23:43:46| ('127.0.0.1', 22737) | Action = login. (hiru,A) | Resultat = match
2014-06-15 |23:46:48| ('127.0.0.1', 22761) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-15 |23:46:49| ('127.0.0.1', 22761) | Action = login. (hiru,A) | Resultat = match
2014-06-15 |23:48:3| ('127.0.0.1', 22792) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-15 |23:48:4| ('127.0.0.1', 22792) | Action = login. (hiru,A) | Resultat = match
2014-06-15 |23:49:31| ('127.0.0.1', 22818) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-15 |23:49:32| ('127.0.0.1', 22818) | Action = login. (hiru,A) | Resultat = match
2014-06-15 |23:54:5| ('127.0.0.1', 22898) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-15 |23:54:6| ('127.0.0.1', 22898) | Action = login. (hiru,A) | Resultat = match
2014-06-15 |23:54:25| ('127.0.0.1', 22898) | Action = deconnexion. (hiru)
2014-06-15 |23:55:11| ('127.0.0.1', 22915) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-15 |23:55:11| ('127.0.0.1', 22915) | Action = login. (hiru,A) | Resultat = match
2014-06-15 |23:58:1| ('127.0.0.1', 22944) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-15 |23:58:2| ('127.0.0.1', 22944) | Action = login. (hiru,A) | Resultat = match
2014-06-15 |23:58:42| ('127.0.0.1', 22944) | Action = deconnexion. (hiru)
2014-06-16 |0:0:20| ('127.0.0.1', 22982) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-16 |0:0:21| ('127.0.0.1', 22982) | Action = login. (hiru,A) | Resultat = match
2014-06-16 |0:1:58| ('127.0.0.1', 22982) | Action = deconnexion. (hiru)
